PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,LAB_SAMPLE_ID,SAMPLE_ID,LAB,MATRIX,SAM_CODE,DATE_RECEIVED,BATCH_ID,DATE_ANALYZED,DILUTION_FACTOR,EXTRACT,HOLDING_TIME,MDL,NARS_FLAG,QA_FLAG,RESULT,RESULT_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RL,SHIP_FLAG,VOLUME_ADJUST,VOLUME_FILTERED
6/2/2026,2022035,NRS_WY-10701,NRS23_WY_10263,WY,1,6/13/2023,2310090,250723,PESD-AL,PERIPHYTON,REGULAR,6/14/2023,230621.1,6/21/2023,9,410.4,8,0.29,,,2.464,ug/cm2,657,ug/L,1,,,25
6/2/2026,2022036,NRS_MI-10180,NRS23_MI_10042,MI,1,6/13/2023,2310115,234283,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,224,9,0.29,,,1.342,ug/cm2,358,ug/L,1,,,25
6/2/2026,2022037,NRS_MD-10078,NRS23_MD_10004,MD,1,6/13/2023,2310130,251043,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,9,1035,10,0.29,S,,6.225,ug/cm2,1660,ug/L,1,,,25
6/2/2026,2022038,NRS_CA-11490,NRS23_CA_10325,CA,1,6/13/2023,2310120,239783,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,33.5,9,0.29,,,0.203,ug/cm2,53.6,ug/L,1,,,25
6/2/2026,2022039,NRS_WV-10093,NRS23_WV_10018,WV,1,6/13/2023,2310114,232143,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,9,590.4,9,0.29,,,3.544,ug/cm2,945,ug/L,1,,,25
6/2/2026,2022040,NRS_CT-10132,NRS23_CT_10013,CT,1,6/13/2023,2310107,239863,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230621.1,6/21/2023,,566,8,0.29,,,3.398,ug/cm2,906,ug/L,1,,,25
6/2/2026,2022041,NRS_CA-11188,NRS23_CA_10003,CA,1,6/13/2023,2310117,241723,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,96.1,9,0.29,,,0.5561,ug/cm2,154,ug/L,1,,,25
6/2/2026,2022042,NRS_LA-10205,NRS23_LA_10002,LA,1,6/13/2023,2310106,250863,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230621.1,6/21/2023,,145,8,0.29,,,0.87,ug/cm2,232,ug/L,1,,,25
6/2/2026,2022043,NRS_KS-10252,NRS23_KS_10085,KS,1,6/12/2023,2310093,234043,PESD-AL,PERIPHYTON,REGULAR,6/14/2023,230621.1,6/21/2023,,62.8,9,0.29,,,0.375,ug/cm2,100,ug/L,1,,,25
6/2/2026,2022044,NRS_SD-10445,NRS23_SD_10010,SD,1,6/13/2023,2310119,232163,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,90.5,9,0.29,,,0.5438,ug/cm2,145,ug/L,1,,,25
6/2/2026,2022045,NRS_NJ-10097,NRS23_NJ_10067,NJ,1,6/13/2023,2310143,242823,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,164,10,0.29,S,,0.9825,ug/cm2,262,ug/L,1,,,25
6/2/2026,2022046,NRS_WA-10442,NRS23_WA_10016,WA,1,6/13/2023,2310142,242903,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,308,10,0.29,S,,1.849,ug/cm2,493,ug/L,1,,,25
6/2/2026,2022047,NRS_WA-10524,NRS23_WA_10118,WA,1,6/13/2023,2310153,242963,PESD-AL,PERIPHYTON,REGULAR,6/19/2023,230626.1,6/26/2023,,42,13,0.29,S,,0.252,ug/cm2,67.2,ug/L,1,,,25
6/2/2026,2022048,NRS_SC-10088,NRS23_SC_10021,SC,1,6/13/2023,2310101,240323,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230621.1,6/21/2023,,342,8,0.29,,,2.051,ug/cm2,547,ug/L,1,,,25
6/2/2026,2022049,NRS_NE-10164,NRS23_NE_10049,NE,1,6/14/2023,2310105,235883,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230621.1,6/21/2023,,66,7,0.29,,,1.98,ug/cm2,528,ug/L,1,,,5
6/2/2026,2022050,NRS_PA-10137,NRS23_PA_10018,PA,1,6/14/2023,2310112,241963,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,69.3,8,0.29,,,0.4162,ug/cm2,111,ug/L,1,,,25
6/2/2026,2022051,NRS_NH-10131,NRS23_NH_10005,NH,1,6/13/2023,2310132,251063,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,191,10,0.29,S,,1.148,ug/cm2,306,ug/L,1,,,25
6/2/2026,2022052,NRS_SD-10784,NRS23_SD_10045,SD,1,6/13/2023,2310109,241023,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,144,9,0.29,,,0.8625,ug/cm2,230,ug/L,1,,,25
6/2/2026,2022053,NRS_TX-10296,NRS23_TX_10026,TX,1,6/13/2023,2310136,244843,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,635,10,0.29,S,,3.664,ug/cm2,977,ug/L,1,,,26
6/2/2026,2022054,NRS_NY-10284,NRS23_NY_10133,NY,1,6/14/2023,2310111,241803,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,317,8,0.29,,,1.901,ug/cm2,507,ug/L,1,,,25
6/2/2026,2022055,NRS_CT-10122,NRS23_CT_10026,CT,1,6/14/2023,2310110,236343,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,9,1458,8,0.29,,,8.737,ug/cm2,2330,ug/L,1,,,25
6/2/2026,2022056,NRS_LA-10210,NRS23_LA_10007,LA,1,6/13/2023,2310123,232203,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,40.1,10,0.29,S,,0.2408,ug/cm2,64.2,ug/L,1,,,25
6/2/2026,2022057,NRS_LA-10225,NRS23_LA_10022,LA,1,6/14/2023,2310121,232283,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230622.1,6/22/2023,,164,8,0.29,,,0.9825,ug/cm2,262,ug/L,1,,,25
6/2/2026,2022058,NRS_ND-10451,NRS23_ND_10040,ND,1,6/14/2023,2310104,234883,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230621.1,6/21/2023,,301,7,0.29,,,1.807,ug/cm2,482,ug/L,1,,,25
6/2/2026,2022059,NRS_WI-10186,NRS23_WI_10014,WI,1,6/14/2023,2310116,235363,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,392,8,0.29,,,2.351,ug/cm2,627,ug/L,1,,,25
6/2/2026,2022060,NRS_IA-10176,NRS23_IA_10029,IA,1,6/14/2023,2310113,242103,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,9,778.5,8,0.29,,,5.85,ug/cm2,1560,ug/L,1,,,20
6/2/2026,2022061,NRS_MD-10098,NRS23_MD_10010,MD,1,6/14/2023,2310122,251703,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230622.1,6/22/2023,,501,8,0.29,,,3.008,ug/cm2,802,ug/L,1,,,25
6/2/2026,2022062,NRS_MI-10206,NRS23_MI_10068,MI,1,6/14/2023,2310126,234223,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,221,9,0.29,,,1.328,ug/cm2,354,ug/L,1,,,25
6/2/2026,2022063,NRS_CA-11498,NRS23_CA_10333,CA,1,6/14/2023,2310138,242843,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,158,9,0.29,,,0.9583,ug/cm2,253,ug/L,1,,,25
6/2/2026,2022064,NRS_CT-10119,NRS23_CT_10003,CT,1,6/14/2023,2310133,244903,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,254,9,0.29,,,1.522,ug/cm2,406,ug/L,1,,,25
