PUBLICATION_DATE,UID,SAMPLE_TYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,UNIQUE_ID,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,DATE_ANALYZED,DATE_RECEIVED,HOLDING_TIME,HOLDING_TIME_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RESULT,RESULT_UNITS,VOLUME_FILTERED,VOLUME_FILTERED_UNITS,RL,RL_UNITS,EXTRACT,EXTRACT_UNITS,QA_FLAG,NARS_FLAG,NARS_COMMENT
6/1/2026,2022360,PBIO,NRS23_MA_10003,7/17/2023,1,MA,NRS_MA-10094,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,246502,2310426,11/27/2023,7/20/2023,133,days,262,mg/L,0.7145,mg/cm2,25,mL,1,mg,6.5,mg,,S,
6/1/2026,2022361,PBIO,NRS23_WA_10120,7/16/2023,1,WA,NRS_WA-10526,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.1,237922,2310396,11/27/2023,7/18/2023,134,days,116,mg/L,0.435,mg/cm2,25,mL,1,mg,2.9,mg,,,
6/1/2026,2022363,PBIO,NRS23_WA_10124,7/17/2023,1,WA,NRS_WA-10530,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.1,237962,2310400,11/27/2023,7/19/2023,133,days,71.2,mg/L,0.267,mg/cm2,25,mL,1,mg,1.8,mg,,,
6/1/2026,2022364,PBIO,NRS23_KS_10096,7/17/2023,1,KS,NRS_KS-10263,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,234002,2310403,11/27/2023,7/19/2023,133,days,105,mg/L,0.3938,mg/cm2,25,mL,1,mg,2.6,mg,,,
6/1/2026,2022365,PBIO,NRS23_TX_HP001,7/17/2023,1,TX,NRS_TX-10010,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,241162,2310424,11/27/2023,7/20/2023,133,days,786,mg/L,2.948,mg/cm2,25,mL,1,mg,19.6,mg,,S,
6/1/2026,2022366,PBIO,NRS23_NH_10031,7/18/2023,1,NH,NRS_NH-10155,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,243862,2310407,11/27/2023,7/19/2023,132,days,64,mg/L,0.24,mg/cm2,25,mL,1,mg,1.6,mg,,,
6/1/2026,2022367,PBIO,NRS23_NC_10014,7/18/2023,1,NC,NRS_NC-10461,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,243542,2310410,11/27/2023,7/19/2023,132,days,106,mg/L,0.3975,mg/cm2,25,mL,1,mg,2.6,mg,,,
6/1/2026,2022368,PBIO,NRS23_NC_10364,7/18/2023,1,NC,NRS_NC-10496,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.1,248402,2310399,11/27/2023,7/19/2023,132,days,477,mg/L,1.789,mg/cm2,25,mL,1,mg,11.9,mg,,,
6/1/2026,2022369,PBIO,NRS23_KY_10016,7/18/2023,1,KY,NRS_KY-10123,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,248742,2310427,11/27/2023,7/20/2023,132,days,214,mg/L,0.8025,mg/cm2,25,mL,1,mg,5.4,mg,,,
6/1/2026,2022370,PBIO,NRS23_CA_10273,7/18/2023,1,CA,NRS_CA-11456,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,244082,2310406,11/27/2023,7/19/2023,132,days,257,mg/L,0.9638,mg/cm2,25,mL,1,mg,6.4,mg,,,
